	Error_type	File	Next_position	Previous_positions	Real_position	Supposed_position
15	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	9203	9116	9154	962
16	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	73206	73086	73159	7623
17	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	120516	120420	120474	22170
18	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	115384	114792	115065	16761
19	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	133687	133608	133657	2585
20	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	124726	124278	124497	26193
21	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	26755	26689	26709	2133
22	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	8517	8379	8437	245
23	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	88338	87827	88067	22531
24	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	6540	6401	6475	331
25	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	83213	83140	83160	17624
26	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	120110	119997	120037	21733
27	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	4815	4696	4767	671
28	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	14013	13564	13794	1506
29	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	6174	6061	6129	2033
30	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	72152	71553	71836	6300
31	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	60333	60227	60282	11130
32	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	119394	118988	119195	20891
33	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	17871	17772	17826	1442
34	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	122723	122633	122669	24365
35	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	5510	5447	5477	1381
36	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	118549	118086	118282	19978
37	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	36494	35987	36214	3446
38	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	30429	30328	30393	5817
39	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	45251	44757	44996	12228
40	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	9353	9277	9300	1108
41	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	26649	26500	26577	2001
42	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	84992	84510	84753	19217
43	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	119750	119621	119701	21397
44	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	138429	137894	138133	7061
45	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	76154	76029	76095	10559
46	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	4238	4121	4152	56
47	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	74416	74308	74365	8829
48	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	61031	60908	60963	11811
49	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per0.txt.gz	29304	29197	29263	4687
50	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	37558	37123	37323	4555
51	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	117015	116517	116719	18415
52	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	59061	58942	59003	9851
53	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	70047	69602	69817	4281
54	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	28394	28303	28347	3771
55	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	122723	122633	122669	24365
56	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	140066	139525	139789	8717
57	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	121858	121758	121814	23510
58	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	7395	7284	7338	1194
59	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	47335	47252	47301	14533
60	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	136050	135577	135809	4737
61	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	77812	77326	77567	12031
62	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	58684	58554	58623	9471
63	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	70539	70047	70294	4758
64	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	51111	50604	50829	1677
65	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	85262	84753	84992	19456
66	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	119750	119621	119701	21397
67	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per8.txt.gz	48287	48169	48224	15456
68	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per7.txt.gz	129582	129127	129386	31082
69	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per7.txt.gz	24979	24864	24924	348
70	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per7.txt.gz	82763	82225	82535	16999
71	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per7.txt.gz	60485	60379	60433	11281
72	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per7.txt.gz	8379	8299	8340	148
73	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per7.txt.gz	5655	5556	5617	1521
74	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per7.txt.gz	74891	74758	74827	9291
75	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per7.txt.gz	15772	15184	15507	3219
76	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per7.txt.gz	82763	82225	82535	16999
77	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per4.txt.gz	60282	60185	60227	11075
78	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per4.txt.gz	133257	132929	133196	2124
79	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per4.txt.gz	27720	27650	27685	3109
80	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per4.txt.gz	26755	26689	26709	2133
81	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per4.txt.gz	95040	94627	94883	29347
82	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per4.txt.gz	47618	47493	47556	14788
83	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per4.txt.gz	87100	86499	86789	21253
