	Error_type	File	Next_position	Previous_positions	Real_position	Supposed_position
29	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per6.txt.gz	54279	53626	53987	4835
30	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per6.txt.gz	135718	135564	135636	4564
31	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per6.txt.gz	49807	49182	49516	364
32	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per6.txt.gz	164203	163584	163863	32791
33	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per6.txt.gz	45260	44605	44957	12189
34	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per7.txt.gz	168275	167727	168035	36963
35	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per7.txt.gz	24295	24197	24241	7857
36	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per7.txt.gz	131002	130830	130914	32610
37	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per7.txt.gz	84335	84025	84091	18555
38	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per7.txt.gz	44605	43964	44308	11540
39	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per7.txt.gz	118000	117845	117937	19633
40	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per7.txt.gz	81993	81898	81952	16416
41	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per7.txt.gz	125765	125177	125499	27195
42	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per7.txt.gz	177039	176441	176699	45627
43	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per7.txt.gz	137507	137425	137469	6397
44	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per7.txt.gz	30829	30278	30536	5960
45	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per7.txt.gz	81952	81818	81898	16362
46	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per7.txt.gz	187911	187333	187632	56560
47	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per7.txt.gz	74412	73842	74142	8606
48	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per7.txt.gz	200591	199998	200305	3697
49	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per5.txt.gz	138883	138778	138815	7743
50	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per5.txt.gz	38775	38633	38702	5934
51	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per5.txt.gz	22876	22315	22629	6245
52	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per5.txt.gz	138129	137960	138025	6953
53	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per5.txt.gz	21525	20889	21205	4821
54	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per5.txt.gz	129066	128442	128739	30435
55	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per5.txt.gz	43964	43317	43654	10886
56	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per3.txt.gz	142804	142137	142479	11407
57	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per3.txt.gz	6996	6897	6955	811
58	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per3.txt.gz	27147	26508	26866	2290
59	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per3.txt.gz	50741	50633	50685	1533
60	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per3.txt.gz	157240	156684	156904	25832
61	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per3.txt.gz	139227	139135	139155	8083
62	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per3.txt.gz	40800	40160	40482	7714
63	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per3.txt.gz	24922	24774	24851	275
64	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per9.txt.gz	7070	6955	6996	852
65	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per9.txt.gz	81993	81898	81952	16416
66	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per9.txt.gz	128442	127877	128172	29868
67	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per9.txt.gz	77374	76814	77054	11518
68	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per9.txt.gz	150407	149789	150112	19040
69	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per9.txt.gz	60010	59448	59717	10565
70	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per9.txt.gz	81684	81489	81583	16047
71	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per9.txt.gz	126604	126030	126277	27973
72	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per8.txt.gz	117845	117706	117779	19475
73	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per8.txt.gz	108990	108820	108887	10583
74	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per8.txt.gz	117845	117706	117779	19475
75	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per8.txt.gz	124148	123495	123815	25511
76	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per8.txt.gz	143611	143104	143311	12239
77	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per8.txt.gz	62776	62190	62480	13328
